SPK ID,0,1,2,3,4,5,6,7,8,9,Gender
1,5,5,5,4,5,5,4,5,5,5,M
2,4,4,5,5,5,5,5,5,5,5,M
3,5,5,5,5,2,5,5,5,5,2,M
4,5,6,6,6,6,6,6,4,5,5,F
5,5,5,5,5,2,5,3,5,3,1,F
6,5,5,5,5,5,5,5,5,5,5,M
7,5,5,5,4,5,5,5,4,3,5,M
8,2,2,3,3,2,3,1,1,3,1,M
9,2,3,3,3,3,3,2,2,2,2,F
10,8,8,8,8,8,8,8,8,8,8,M
11,5,5,5,5,5,5,5,5,5,4,M
12,5,5,4,5,5,4,4,4,5,5,M
13,7,7,7,7,7,7,7,7,7,7,M
14,3,5,5,5,5,5,5,5,5,5,M
15,8,7,7,8,8,8,8,8,8,8,M
16,8,10,10,9,7,10,8,9,10,6,M
17,2,4,4,3,2,4,2,4,3,1,M
18,0,3,3,3,3,3,3,2,3,3,F
19,3,4,4,5,2,5,4,2,1,1,F
20,6,6,6,6,6,6,6,6,6,6,M
21,6,8,8,8,6,8,7,8,7,2,F
22,4,6,6,6,2,6,6,6,5,0,F
23,5,4,5,5,5,4,5,5,5,4,F
24,5,5,5,5,4,5,5,5,5,2,M
25,5,5,5,5,5,5,5,5,5,4,M
26,3,3,3,3,3,3,3,3,3,3,F
27,5,4,5,5,5,5,5,5,5,5,F
28,9,8,9,8,8,9,9,8,9,6,M
29,5,5,5,4,5,5,5,5,5,5,M
30,3,3,1,2,1,3,2,3,3,2,M
31,7,7,7,7,6,7,7,6,7,7,M
32,8,8,8,8,8,8,8,8,8,8,M
33,4,4,5,5,4,5,5,5,5,5,M
34,5,5,5,5,5,5,5,5,5,5,M
35,5,5,5,5,4,5,4,5,5,4,M
36,5,5,5,5,5,4,5,5,3,1,M
37,4,4,4,3,2,4,4,4,4,4,M
38,10,10,10,10,10,10,10,10,10,8,M
39,4,5,5,5,5,5,5,5,5,5,M
40,5,5,5,5,4,5,5,5,5,5,M
41,5,6,6,6,6,6,6,6,6,6,F
42,4,4,4,4,4,4,4,4,3,4,M
43,4,4,4,4,4,4,4,4,4,4,M
44,4,4,5,4,5,5,5,5,5,5,M
45,13,14,14,13,14,13,13,13,14,13,M
46,8,7,7,7,7,7,7,6,6,7,F
47,8,8,8,7,8,8,8,8,7,7,M
48,6,8,7,7,4,7,7,7,7,5,F
49,5,5,4,5,3,4,5,3,5,4,F
50,7,6,7,7,7,7,7,7,7,5,M
51,4,4,4,4,4,4,4,4,3,2,F
52,5,5,5,5,5,5,5,5,5,5,M
53,3,5,5,5,5,5,4,5,5,5,M
54,6,9,9,9,7,9,9,9,9,8,M
55,3,2,3,3,2,3,3,2,3,3,F
56,1,3,3,3,2,3,2,3,3,1,F
57,2,4,4,4,4,4,4,4,4,4,F
58,6,6,6,6,6,6,6,6,6,6,M
59,5,5,5,5,5,5,5,5,5,5,F
